ortho,phon,lemme,cgram,nombre,freqlemfilms2,islem,syll,cv-cv,logfreq
bien,bj1,bien,NOM,s,106.6,1,bj1,CYV,4.669084449817608
silence,sil@s,silence,NOM,s,106.43,1,si-l@s,CV-CVC,4.667488431637215
télé,tele,télé,NOM,s,106.42,1,te-le,CV-CV,4.667394468840776
victime,viktim,victime,NOM,s,106.25,1,vik-tim,CVC-CVC,4.665795748980554
pute,pyt,pute,NOM,s,105.25,1,pyt,CVC,4.656339422680804
calme,kalm,calme,NOM,s,105.2,1,kalm,CVCC,4.6558642508735
garde,gaRd,garde,NOM,s,104.47,1,gaRd,CVCC,4.648900906061556
meurtre,m2RtR,meurtre,NOM,s,104.45,1,m2RtR,CVCCC,4.648709445398
crime,kRim,crime,NOM,s,104.07,1,kRim,CCVC,4.645064710541014
colonel,kolonel,colonel,NOM,s,103.7,1,ko-lo-nel,CV-CV-CVC,4.641503079555171
secret,s°kRe,secret,NOM,s,103.49,1,s°-kRe,CV-CCV,4.6394759559565495
parole,paRol,parole,NOM,s,103.48,1,pa-Rol,CV-CVC,4.639379323687675
seul,s2l,seul,NOM,s,102.45,1,s2l,CVC,4.629375850770328
soirée,swaRe,soirée,NOM,s,102.37,1,swa-Re,CYV-CV,4.628594677779889
armée,aRme,armée,NOM,s,101.07,1,aR-me,VC-CV,4.615814335499359
appel,apel,appel,NOM,s,100.18,1,a-pel,V-CVC,4.606969566132207
visite,vizit,visite,NOM,s,99.95,1,vi-zit,CV-CVC,4.604671061446159
fleur,fl2R,fleur,NOM,s,99.75,1,fl2R,CCVC,4.602668058275736
coin,kw1,coin,NOM,s,99.51,1,kw1,CYV,4.600259146550694
prince,pR1s,prince,NOM,s,98.9,1,pR1s,CCVC,4.594110249750501
bordel,boRdel,bordel,NOM,s,98.77,1,boR-del,CVC-CVC,4.592794927372697
professeur,pRofes2R,professeur,NOM,s,98.55,1,pRo-fe-s2R,CCV-CV-CVC,4.590565048311558
habitude,abityd,habitude,NOM,s,98.22,1,a-bi-tyd,V-CV-CVC,4.5872108787331625
village,vilaZ,village,NOM,s,95.82,1,vi-laZ,CV-CVC,4.562472475077892
connerie,kon°Ri,connerie,NOM,s,95.42,1,ko-n°-Ri,CV-CV-CV,4.558289248085735
forme,foRm,forme,NOM,s,94.19,1,foRm,CVCC,4.545315080517993
bruit,bR8i,bruit,NOM,s,94.13,1,bR8i,CCYV,4.5446778679191295
diable,djabl,diable,NOM,s,93.34,1,djabl,CYVCC,4.536249811873142
exemple,egz@pl,exemple,NOM,s,93.2,1,eg-z@pl,VC-CVCC,4.5347487946523435
ennemi,en°mi,ennemi,NOM,s,92.37,1,e-n°-mi,V-CV-CV,4.525803333206509
grand,gR@,grand,NOM,s,92.25,1,gR@,CCV,4.524503366930889
gamin,gam1,gamin,NOM,s,92.22,1,ga-m1,CV-CV,4.52417811114145
meilleur,mej2R,meilleur,NOM,s,91.02,1,me-j2R,CV-YVC,4.511080361247528
trou,tRu,trou,NOM,s,90.72,1,tRu,CCV,4.507778942271603
idiot,idjo,idiot,NOM,s,90.57,1,i-djo,V-CYV,4.506124136504609
fenêtre,f°netR,fenêtre,NOM,s,90.55,1,f°-netR,CV-CVCC,4.5059032886910435
impression,1pResj§,impression,NOM,s,90.19,1,1-pRe-sj§,V-CCV-CYV,4.501919664947375
intérieur,1teRj2R,intérieur,NOM,s,90.11,1,1-te-Rj2R,V-CV-CYVC,4.501032256001074
bouche,buS,bouche,NOM,s,90.03,1,buS,CVC,4.5001440588606325
ligne,liN,ligne,NOM,s,89.83,1,liN,CVC,4.497920108454344
mur,myR,mur,NOM,s,88.93,1,myR,CVC,4.487850667890845
enfer,@feR,enfer,NOM,s,88.86,1,@-feR,V-CVC,4.487063222872873
boîte,bwat,boîte,NOM,s,88.81,1,bwat,CYVC,4.486500382269103
santé,s@te,santé,NOM,s,88.69,1,s@-te,CV-CV,4.485148270910558
dîner,dine,dîner,NOM,s,88.45,1,di-ne,CV-CV,4.482438551187405
cuisine,k8izin,cuisine,NOM,s,87.92,1,k8i-zin,CYV-CVC,4.476428447492354
salaud,salo,salaud,NOM,s,87.4,1,sa-lo,CV-CV,4.470496426825595
conseil,k§sej,conseil,NOM,s,87.14,1,k§-sej,CV-CVY,4.467517168267247
doigt,dwa,doigt,NOM,s,85.69,1,dwa,CYV,4.450737299677662
mission,misj§,mission,NOM,s,85.24,1,mi-sj§,CV-CYV,4.44547198038787
chanson,S@s§,chanson,NOM,s,84.92,1,S@-s§,CV-CV,4.44171081441326
pote,pot,pote,NOM,s,84.92,1,pot,CVC,4.44171081441326
robe,Rob,robe,NOM,s,84.43,1,Rob,CVC,4.43592397309383
billet,bije,billet,NOM,s,83.87,1,bi-je,CV-YV,4.429269173317059
moyen,mwaj1,moyen,NOM,s,83.47,1,mwa-j1,CYV-YV,4.42448848389715
vaisseau,veso,vaisseau,NOM,s,83.39,1,ve-so,CV-CV,4.423529597282729
surprise,syRpRiz,surprise,NOM,s,82.94,1,syR-pRiz,CVC-CCVC,4.4181186605083695
poste,post,poste,NOM,s,82.87,1,post,CVCC,4.4172743215695265
anniversaire,aniveRseR,anniversaire,NOM,s,82.79,1,a-ni-veR-seR,V-CV-CVC-CVC,4.416308489025332
vol,vol,vol,NOM,s,82.42,1,vol,CVC,4.411829339207679
couleur,kul2R,couleur,NOM,s,82.25,1,ku-l2R,CV-CVC,4.4097646054502135
image,imaZ,image,NOM,s,82.13,1,i-maZ,V-CVC,4.408304575333242
est,est,est,NOM,s,81.74,1,est,VCC,4.403544701526624
arbre,aRbR,arbre,NOM,s,81.69,1,aRbR,VCCC,4.402932819493071
bière,bjeR,bière,NOM,s,81.67,1,bjeR,CYVC,4.402687961809254
mme,madam,mme,NOM,s,81.64,1,ma-dam,CV-CVC,4.402320562830654
poisson,pwas§,poisson,NOM,s,81.51,1,pwa-s§,CYV-CV,4.400726938948946
intérêt,1teRe,intérêt,NOM,s,81.09,1,1-te-Re,V-CV-CV,4.395560882153387
