parameter_name,parameter_value,error,metric,ID
gamma,0.38777996187621167,726.410122561438,slot_coding,19
delta,0.19376148064229726,726.410122561438,slot_coding,19
overlap,0.4017422650412588,726.410122561438,slot_coding,19
sigma,0.5028469329252648,726.410122561438,slot_coding,19
tau,1.6324514506970378,726.410122561438,slot_coding,19
b,2.7416256233897145,726.410122561438,slot_coding,19
base,0.8161843531193984,726.410122561438,slot_coding,19
theta,1.9996064967006921,726.410122561438,slot_coding,19
sim_ELI,0.506980422234795,726.410122561438,slot_coding,19
alpha,5.998272849869165,772.5936145415978,slot_coding,20
gamma,0.571512173161445,772.5936145415978,slot_coding,20
delta,0.23021622667946862,772.5936145415978,slot_coding,20
overlap,0.1552604957712795,772.5936145415978,slot_coding,20
sigma,0.32492396580305233,772.5936145415978,slot_coding,20
tau,0.7812263517003708,772.5936145415978,slot_coding,20
b,2.4896925844100304,772.5936145415978,slot_coding,20
base,0.7169944001183876,772.5936145415978,slot_coding,20
theta,1.8829232721702205,772.5936145415978,slot_coding,20
sim_ELI,0.9999242670279542,772.5936145415978,slot_coding,20
alpha,2.6576188103932705,676.7031659112236,slot_coding,21
gamma,0.48506630637529935,676.7031659112236,slot_coding,21
delta,0.0567299760616733,676.7031659112236,slot_coding,21
overlap,0.504437876951286,676.7031659112236,slot_coding,21
sigma,0.3793511264369056,676.7031659112236,slot_coding,21
tau,0.8270093818393344,676.7031659112236,slot_coding,21
b,2.9668585410576567,676.7031659112236,slot_coding,21
base,0.0012618167275020586,676.7031659112236,slot_coding,21
theta,1.0677620652240472,676.7031659112236,slot_coding,21
sim_ELI,0.23494497492272295,676.7031659112236,slot_coding,21
alpha,1.1329982103977307,469.5068951913614,slot_coding,22
gamma,0.3097995968860105,469.5068951913614,slot_coding,22
delta,0.001018150253858732,469.5068951913614,slot_coding,22
overlap,0.31813636586517463,469.5068951913614,slot_coding,22
sigma,0.364811312097432,469.5068951913614,slot_coding,22
tau,0.8153025053322852,469.5068951913614,slot_coding,22
b,3.494221036975914,469.5068951913614,slot_coding,22
base,1.0191935873285014,469.5068951913614,slot_coding,22
theta,1.9999573559425055,469.5068951913614,slot_coding,22
sim_ELI,0.48171269547630025,469.5068951913614,slot_coding,22
alpha,3.4495921519578716,534.9768001425,slot_coding,23
gamma,0.125228117906631,534.9768001425,slot_coding,23
delta,0.0013715426039714244,534.9768001425,slot_coding,23
overlap,0.23171484246323584,534.9768001425,slot_coding,23
sigma,0.9983594124758802,534.9768001425,slot_coding,23
tau,2.705111302236896,534.9768001425,slot_coding,23
b,4.430916397181799,534.9768001425,slot_coding,23
base,7.951405757211751e-6,534.9768001425,slot_coding,23
theta,1.9528276169474692,534.9768001425,slot_coding,23
sim_ELI,0.1600991186884806,534.9768001425,slot_coding,23
alpha,5.9965859961897054,875.0697948613483,slot_coding,24
gamma,0.4516989164705006,875.0697948613483,slot_coding,24
delta,0.18940115073383987,875.0697948613483,slot_coding,24
overlap,0.5128924106462772,875.0697948613483,slot_coding,24
sigma,0.4300733837885538,875.0697948613483,slot_coding,24
tau,1.0104465562964424,875.0697948613483,slot_coding,24
b,2.42207330507658,875.0697948613483,slot_coding,24
base,0.13304140960989444,875.0697948613483,slot_coding,24
theta,1.6878657183870984,875.0697948613483,slot_coding,24
sim_ELI,0.417001490879077,875.0697948613483,slot_coding,24
alpha,5.999644970070598,658.3579282897149,slot_coding,25
gamma,0.5759884352336619,658.3579282897149,slot_coding,25
delta,0.2160362092492064,658.3579282897149,slot_coding,25
overlap,0.20246549009211426,658.3579282897149,slot_coding,25
sigma,0.3321997748265621,658.3579282897149,slot_coding,25
tau,0.4680152351899132,658.3579282897149,slot_coding,25
b,3.682005731629832,658.3579282897149,slot_coding,25
base,0.584231746638615,658.3579282897149,slot_coding,25
theta,1.4887356355906802,658.3579282897149,slot_coding,25
sim_ELI,0.5583636156111218,658.3579282897149,slot_coding,25
alpha,5.995708571114366,776.8617264945441,slot_coding,26
gamma,0.37704330816182013,776.8617264945441,slot_coding,26
delta,0.04910572000014124,776.8617264945441,slot_coding,26
overlap,0.47305178545847026,776.8617264945441,slot_coding,26
sigma,0.8501245784496393,776.8617264945441,slot_coding,26
tau,1.5745745784317609,776.8617264945441,slot_coding,26
b,3.598800936238791,776.8617264945441,slot_coding,26
base,0.00012652778312092746,776.8617264945441,slot_coding,26
theta,1.9997595342391383,776.8617264945441,slot_coding,26
sim_ELI,0.2800768370873327,776.8617264945441,slot_coding,26
alpha,5.998720719847954,854.4642334678259,slot_coding,27
gamma,0.3891214564480923,854.4642334678259,slot_coding,27
delta,0.17790979038110308,854.4642334678259,slot_coding,27
overlap,0.22795401253497852,854.4642334678259,slot_coding,27
sigma,0.567148455182049,854.4642334678259,slot_coding,27
tau,0.989606274654729,854.4642334678259,slot_coding,27
b,2.1093797496626157,854.4642334678259,slot_coding,27
base,0.0005592333193224224,854.4642334678259,slot_coding,27
theta,1.4634739828434344,854.4642334678259,slot_coding,27
sim_ELI,0.3420708803322195,854.4642334678259,slot_coding,27
alpha,4.99260953780772,962.5762006607459,slot_coding,28
gamma,0.3971516481095788,962.5762006607459,slot_coding,28
delta,0.0010006395888642649,962.5762006607459,slot_coding,28
overlap,0.9446847185111015,962.5762006607459,slot_coding,28
sigma,0.32044674716492216,962.5762006607459,slot_coding,28
tau,0.6429149563236253,962.5762006607459,slot_coding,28
b,17.38458947692052,962.5762006607459,slot_coding,28
base,0.12223333689582185,962.5762006607459,slot_coding,28
theta,1.9999963110587968,962.5762006607459,slot_coding,28
sim_ELI,0.1763636436433179,962.5762006607459,slot_coding,28
alpha,2.3133577129797587,604.3004913161401,slot_coding,29
gamma,0.18002904505524503,604.3004913161401,slot_coding,29
delta,0.0011265441587526544,604.3004913161401,slot_coding,29
overlap,0.4584997330584524,604.3004913161401,slot_coding,29
sigma,0.5709803355723175,604.3004913161401,slot_coding,29
tau,1.472873625593079,604.3004913161401,slot_coding,29
b,3.4618489104650845,604.3004913161401,slot_coding,29
base,0.10962729573531335,604.3004913161401,slot_coding,29
theta,1.9998129386513097,604.3004913161401,slot_coding,29
sim_ELI,0.2867306353709805,604.3004913161401,slot_coding,29
alpha,5.992623762799084,643.0699112999755,slot_coding,30
gamma,0.40230792464333365,643.0699112999755,slot_coding,30
delta,0.2370262781540997,643.0699112999755,slot_coding,30
overlap,0.3179007529702258,643.0699112999755,slot_coding,30
sigma,0.29341483353273057,643.0699112999755,slot_coding,30
tau,0.7029539448321791,643.0699112999755,slot_coding,30
b,2.6982882385934257,643.0699112999755,slot_coding,30
base,0.0002102100374148689,643.0699112999755,slot_coding,30
theta,1.485888664775451,643.0699112999755,slot_coding,30
sim_ELI,0.3759737889612182,643.0699112999755,slot_coding,30
alpha,5.9985336049060125,620.7204254928413,slot_coding,31
gamma,0.6412309724241048,620.7204254928413,slot_coding,31
delta,0.15731631327500198,620.7204254928413,slot_coding,31
overlap,0.0012973572614821851,620.7204254928413,slot_coding,31
sigma,0.0952401188527876,620.7204254928413,slot_coding,31
tau,0.13766827620958977,620.7204254928413,slot_coding,31
b,0.35583862310280423,620.7204254928413,slot_coding,31
base,0.042739909320069366,620.7204254928413,slot_coding,31
theta,1.0331506919913562,620.7204254928413,slot_coding,31
sim_ELI,0.8720726085924082,620.7204254928413,slot_coding,31
alpha,5.992956948811603,898.9529116421656,slot_coding,32
gamma,0.420887668530041,898.9529116421656,slot_coding,32
delta,0.17321159522333698,898.9529116421656,slot_coding,32
overlap,0.1291027776978976,898.9529116421656,slot_coding,32
sigma,0.6014826898563419,898.9529116421656,slot_coding,32
tau,0.9893758020543324,898.9529116421656,slot_coding,32
b,2.5453776544014888,898.9529116421656,slot_coding,32
base,0.5376443285649523,898.9529116421656,slot_coding,32
theta,1.788849947955197,898.9529116421656,slot_coding,32
sim_ELI,0.7029120634013727,898.9529116421656,slot_coding,32
alpha,5.998436929356706,705.5056399656797,levenshtein,1
gamma,0.5978697322913075,705.5056399656797,levenshtein,1
delta,0.12069965366347876,705.5056399656797,levenshtein,1
overlap,0.4577195653867408,705.5056399656797,levenshtein,1
sigma,0.33471301467762254,705.5056399656797,levenshtein,1
tau,0.922191186679025,705.5056399656797,levenshtein,1
b,1.6107217572789403,705.5056399656797,levenshtein,1
base,0.0002948654735799111,705.5056399656797,levenshtein,1
theta,1.6092709403332053,705.5056399656797,levenshtein,1
sim_ELI,0.45326459153244103,705.5056399656797,levenshtein,1
alpha,2.797688188198788,633.1206038591524,levenshtein,2
gamma,0.346651193201069,633.1206038591524,levenshtein,2
delta,0.0010665395077520247,633.1206038591524,levenshtein,2
overlap,0.18122214564430364,633.1206038591524,levenshtein,2
sigma,0.7016540099765339,633.1206038591524,levenshtein,2
tau,1.550056822534148,633.1206038591524,levenshtein,2
